Rk,School,Conf,W,L,Pct
1,Clemson,ACC (Atlantic),10,2,0.833
2,Notre Dame,ACC (Atlantic),10,2,0.833
3,North Carolina State,ACC (Atlantic),8,4,0.667
4,Boston College,ACC (Atlantic),6,5,0.545
5,Wake Forest,ACC (Atlantic),4,5,0.444
6,Louisville,ACC (Atlantic),4,7,0.364
7,Florida State,ACC (Atlantic),3,6,0.333
8,Syracuse,ACC (Atlantic),1,10,0.091
9,Miami (FL),ACC (Coastal),8,3,0.727
11,Pitt,ACC (Coastal),6,5,0.545
12,Virginia Tech,ACC (Coastal),5,6,0.455
13,Virginia,ACC (Coastal),5,5,0.5
14,Georgia Tech,ACC (Coastal),3,7,0.3
15,Duke,ACC (Coastal),2,9,0.182
16,Cincinnati,American (East),9,1,0.9
17,UCF,American (East),6,4,0.6
18,East Carolina,American (East),3,6,0.333
19,Temple,American (East),1,6,0.143
20,South Florida,American (East),1,8,0.111
21,Connecticut,American (East),0,0,
22,Tulsa,American (West),6,3,0.667
23,Memphis,American (West),8,3,0.727
24,SMU,American (West),7,3,0.7
25,Houston,American (West),3,5,0.375
26,Navy,American (West),3,7,0.3
27,Tulane,American (West),6,6,0.5
28,Oklahoma,Big 12,9,2,0.818
29,Iowa State,Big 12,9,3,0.75
30,Oklahoma State,Big 12,8,3,0.727
31,Texas,Big 12,7,3,0.7
32,Texas Christian,Big 12,6,4,0.6
33,West Virginia,Big 12,6,4,0.6
34,Kansas State,Big 12,4,6,0.4
35,Texas Tech,Big 12,4,6,0.4
36,Baylor,Big 12,2,7,0.222
37,Kansas,Big 12,0,9,0
38,Ohio State,Big Ten (East),7,1,0.875
39,Indiana,Big Ten (East),6,2,0.75
40,Maryland,Big Ten (East),2,3,0.4
41,Penn State,Big Ten (East),4,5,0.444
42,Michigan,Big Ten (East),2,4,0.333
43,Rutgers,Big Ten (East),3,6,0.333
44,Michigan State,Big Ten (East),2,5,0.286
45,Iowa,Big Ten (West),6,2,0.75
46,Northwestern,Big Ten (West),7,2,0.778
47,Wisconsin,Big Ten (West),4,3,0.571
48,Minnesota,Big Ten (West),3,4,0.429
49,Nebraska,Big Ten (West),3,5,0.375
50,Purdue,Big Ten (West),2,4,0.333
51,Illinois,Big Ten (West),2,6,0.25
52,Marshall,CUSA (East),7,3,0.7
53,Florida Atlantic,CUSA (East),5,4,0.556
54,Western Kentucky,CUSA (East),5,7,0.417
55,Charlotte,CUSA (East),2,4,0.333
56,Middle Tennessee State,CUSA (East),3,6,0.333
57,Florida International,CUSA (East),0,5,0
58,Old Dominion,CUSA (East),0,0,
59,UAB,CUSA (West),6,3,0.667
60,UTSA,CUSA (West),7,5,0.583
61,Louisiana Tech,CUSA (West),5,5,0.5
62,North Texas,CUSA (West),4,6,0.4
63,Rice,CUSA (West),2,3,0.4
64,Southern Mississippi,CUSA (West),3,7,0.3
65,UTEP,CUSA (West),3,5,0.375
66,Liberty,Ind,10,1,0.909
67,Massachusetts,Ind,0,4,0
68,New Mexico State,Ind,1,1,0.5
69,BYU,Ind,11,1,0.917
70,Army,Ind,9,3,0.75
71,Buffalo,MAC (East),6,1,0.857
72,Kent State,MAC (East),3,1,0.75
73,Miami (OH),MAC (East),2,1,0.667
74,Ohio,MAC (East),2,1,0.667
75,Akron,MAC (East),1,5,0.167
76,Bowling Green State,MAC (East),0,5,0
77,Ball State,MAC (West),7,1,0.875
78,Toledo,MAC (West),4,2,0.667
79,Western Michigan,MAC (West),4,2,0.667
80,Central Michigan,MAC (West),3,3,0.5
81,Eastern Michigan,MAC (West),2,4,0.333
82,Northern Illinois,MAC (West),0,6,0
83,Boise State,MWC (Mountain),5,2,0.714
84,Air Force,MWC (Mountain),3,3,0.5
85,Wyoming,MWC (Mountain),2,4,0.333
86,Colorado State,MWC (Mountain),1,3,0.25
87,New Mexico,MWC (Mountain),2,5,0.286
88,Utah State,MWC (Mountain),1,5,0.167
89,San Jose State,MWC (West),7,1,0.875
90,Nevada,MWC (West),7,2,0.778
91,San Diego State,MWC (West),4,4,0.5
92,Fresno State,MWC (West),3,3,0.5
93,Hawaii,MWC (West),5,4,0.556
94,Nevada-Las Vegas,MWC (West),0,6,0
95,Oregon,Pac-12 (North),4,3,0.571
96,Washington,Pac-12 (North),3,1,0.75
97,Stanford,Pac-12 (North),4,2,0.667
98,California,Pac-12 (North),1,3,0.25
99,Oregon State,Pac-12 (North),2,5,0.286
100,Washington State,Pac-12 (North),1,3,0.25
101,USC,Pac-12 (South),5,1,0.833
102,Colorado,Pac-12 (South),4,2,0.667
103,Utah,Pac-12 (South),3,2,0.6
104,Arizona State,Pac-12 (South),2,2,0.5
105,UCLA,Pac-12 (South),3,4,0.429
106,Arizona,Pac-12 (South),0,5,0
107,Georgia,SEC (East),8,2,0.8
108,Florida,SEC (East),8,4,0.667
109,Missouri,SEC (East),5,5,0.5
110,Kentucky,SEC (East),5,6,0.455
111,Tennessee,SEC (East),3,7,0.3
112,South Carolina,SEC (East),2,8,0.2
113,Vanderbilt,SEC (East),0,9,0
114,Alabama,SEC (West),13,0,1
115,Texas A&M,SEC (West),9,1,0.9
116,Auburn,SEC (West),6,5,0.545
117,LSU,SEC (West),5,5,0.5
118,Ole Miss,SEC (West),5,5,0.5
119,Arkansas,SEC (West),3,7,0.3
120,Mississippi State,SEC (West),4,7,0.364
121,Coastal Carolina,Sun Belt (East),11,1,0.917
122,Appalachian State,Sun Belt (East),9,3,0.75
123,Georgia Southern,Sun Belt (East),8,5,0.615
124,Georgia State,Sun Belt (East),6,4,0.6
125,Troy,Sun Belt (East),5,6,0.455
126,Louisiana,Sun Belt (West),10,1,0.909
127,South Alabama,Sun Belt (West),4,7,0.364
128,Arkansas State,Sun Belt (West),4,7,0.364
